Mobile Page,Mobile Name,Price,Company Name,Mobile Image,Mobile Rate
https://jumia.com.eg/nubia-redmagic-7-pro-smartphone-5g-41257510.html,Nubia REDMAGIC 7 Pro Smartphone 5G,36100.0,Nubia,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/575214/1.jpg?8712,0
https://jumia.com.eg/unihertz-tank-22000mah-rugged-smartphone-8gb256gb-108mp-android-12-unlocked-smartphone-45348467.html,unihertz TANK 22000mAh Rugged Smartphone 8GB+256GB 108MP Android 12 Unlocked Smartphone,35000.0,unihertz,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/484354/1.jpg?3583,0
https://jumia.com.eg/apple-iphone-13-128gb-face-id-starlight-61280847.html,Apple IPhone 13 - 128GB - Face ID - Starlight,32999.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/808216/1.jpg?3911,0
https://jumia.com.eg/apple-iphone13-128gb-blue-58426819.html,Apple IPhone13 128GB Blue,32999.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/862485/1.jpg?1875,0
https://jumia.com.eg/apple-iphone-13-128gb-starlight-27981066.html,Apple IPhone 13 128GB Starlight,31900.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/018972/1.jpg?5772,0
https://jumia.com.eg/apple-iphone-13-with-facetime128gbblue-27216046.html,Apple Iphone 13 With Facetime/128GB/Blue,31500.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/061272/1.jpg?2125,0
https://jumia.com.eg/apple-iphone-13-128gb-midnight-27152502.html,"Apple IPhone 13 , 128GB , Midnight",31500.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/525172/1.jpg?2712,5.0
https://jumia.com.eg/apple-iphone-13-6.1-inch-4gb128gb-ram-5g-starlight-49065848.html,Apple IPhone 13 - 6.1 Inch - 4GB/128GB RAM - 5G - Starlight,31499.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/856094/1.jpg?6969,1.0
https://jumia.com.eg/apple-iphone-13-6.1-inch-single-sim-5g-128gb4gbmobile-phone-starlight-47014657.html,Apple IPhone 13 - 6.1 Inch Single SIM 5G 128GB/4GBMobile Phone - Starlight,30999.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/641074/1.jpg?2824,0
https://jumia.com.eg/apple-iphone-13-6.1-inch-single-sim-5g-128gb4gb-mobile-phone-blue-61454773.html,Apple IPhone 13 -  6.1 Inch Single SIM 5G 128GB/4GB Mobile Phone - Blue,30999.0,Apple,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/745416/1.jpg?3547,0
